"SITE","LINE","PLC_STATION_ID","ORDER","SFC","TXNTYPE","REASON_CODE","START_DATE_TIME","END_DATE_TIME","TXN_VARIANT_CODE","TXN_VARIANT_DATA","PRE_WEIGHT","POST_WEIGHT","STATUS","ACTIVITY","CREATED_BY","CREATED_DATE_TIME","MODIFIED_DATE_TIME","RETRY_COUNT"
"1297","L1_SA_SU","1","SU01","00201908SU-00004",1,1,"15-AUG-2019 12:06:01","15-AUG-2019 12:06:06","1"," E02B0040002A2FF",0,0,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","2","SU01","00201908SU-00004",1,10,"15-AUG-2019 12:06:15","15-AUG-2019 12:06:30","","",0,204,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","3","SU01","00201908SU-00004",1,20,"15-AUG-2019 12:06:41","15-AUG-2019 12:06:56","","",204,659,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","4","SU01","00201908SU-00004",2,33,"15-AUG-2019 12:07:07","15-AUG-2019 12:07:17","","",659,659,"SUCCESS","SFC_SCRAP","MESYS",15-AUG-19,15-AUG-19,5
"1297","L1_SA_SU","1","SU01","00201908SU-00005",1,1,"15-AUG-2019 12:07:19","15-AUG-2019 12:07:23","1"," E02B0040002A38D",0,0,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","2","SU01","00201908SU-00005",1,10,"15-AUG-2019 12:07:31","15-AUG-2019 12:07:47","","",0,205,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","3","SU01","00201908SU-00005",2,21,"15-AUG-2019 12:07:56","15-AUG-2019 12:22:08","","",205,205,"SUCCESS","SFC_SCRAP","MESYS",15-AUG-19,15-AUG-19,7
"1297","L1_SA_SU","1","SU01","00201908SU-00006",1,1,"15-AUG-2019 12:22:51","15-AUG-2019 12:22:55","1"," E02B0040002A2FD",0,0,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","2","SU01","00201908SU-00006",1,10,"15-AUG-2019 12:23:20","15-AUG-2019 12:23:37","","",0,203,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","3","SU01","00201908SU-00006",1,20,"15-AUG-2019 12:23:46","15-AUG-2019 12:24:00","","",203,663,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","4","SU01","00201908SU-00006",1,30,"15-AUG-2019 12:24:12","15-AUG-2019 12:24:28","","",663,663,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","5","SU01","00201908SU-00006",1,40,"15-AUG-2019 12:24:45","15-AUG-2019 12:25:04","","",663,964,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","6","SU01","00201908SU-00006",1,50,"15-AUG-2019 12:25:25","15-AUG-2019 12:25:36","","",964,964,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","7","SU01","00201908SU-00006",1,60,"15-AUG-2019 12:26:10","15-AUG-2019 12:26:19","","",964,964,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","8","SU01","00201908SU-00006",1,70,"15-AUG-2019 12:28:11","15-AUG-2019 12:28:22","","",964,964,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","1","SU01","00201908SU-00007",1,1,"15-AUG-2019 12:24:25","15-AUG-2019 12:24:29","1"," E02B0040002A36A",0,0,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","2","SU01","00201908SU-00007",1,10,"15-AUG-2019 12:25:03","15-AUG-2019 12:25:18","","",0,205,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","3","SU01","00201908SU-00007",1,20,"15-AUG-2019 12:25:31","15-AUG-2019 12:25:47","","",205,662,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","4","SU01","00201908SU-00007",1,30,"15-AUG-2019 12:25:59","15-AUG-2019 12:26:16","","",662,662,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","5","SU01","00201908SU-00007",1,40,"15-AUG-2019 12:26:40","15-AUG-2019 12:27:01","","",662,962,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","6","SU01","00201908SU-00007",1,50,"15-AUG-2019 12:27:17","15-AUG-2019 12:27:28","","",962,962,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","7","SU01","00201908SU-00007",1,60,"15-AUG-2019 12:27:55","15-AUG-2019 12:28:05","","",962,962,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","8","SU01","00201908SU-00007",1,70,"15-AUG-2019 12:30:15","15-AUG-2019 12:30:25","","",962,962,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","1","SU01","00201908SU-00008",1,1,"15-AUG-2019 12:26:12","15-AUG-2019 12:26:16","1"," E02B0040002A35E",0,0,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
