SITE,LINE,PLC_STATION_ID,ORDER,SFC,TXNTYPE,REASON_CODE,START_DATE_TIME,END_DATE_TIME,TXN_VARIANT_CODE,TXN_VARIANT_DATA,PRE_WEIGHT,POST_WEIGHT,STATUS,ACTIVITY,CREATED_BY,CREATED_DATE_TIME,MODIFIED_DATE_TIME,RETRY_COUNT
1297,L1_SA_SU,1,SU01,2019101700-00001,1,10,10/17/2019 15:40:02,10/17/2019 15:40:06,1,E02B0040002A40E0,0,0,SUCCESS,SFC_COMPLETE,MESYS,10/17/2019 07:40:18,10/17/2019 07:40:18,4
1297,L1_SA_SU,2,SU01,2019101700-00001,1,20,10/17/2019 15:41:27,10/17/2019 15:42:02,,,0,206,SUCCESS,SFC_COMPLETE,MESYS,10/17/2019 07:42:24,10/17/2019 07:42:24,4
1297,L1_SA_SU,3,SU01,2019101700-00001,1,30,10/17/2019 15:42:31,10/17/2019 15:42:46,,,206,663,SUCCESS,SFC_COMPLETE,MESYS,10/17/2019 07:46:24,10/17/2019 07:46:24,4
1297,L1_SA_SU,4,SU01,2019101700-00001,1,40,10/17/2019 15:46:36,10/17/2019 15:46:53,,,663,663,SUCCESS,SFC_COMPLETE,MESYS,10/17/2019 07:47:08,10/17/2019 07:47:08,4
1297,L1_SA_SU,5,SU01,2019101700-00001,1,50,10/17/2019 15:47:10,10/17/2019 15:47:26,,,663,966,SUCCESS,SFC_COMPLETE,MESYS,10/17/2019 07:47:38,10/17/2019 07:47:38,4
1297,L1_SA_SU,6,SU01,2019101700-00001,1,60,10/17/2019 15:47:41,10/17/2019 15:47:53,,,966,966,SUCCESS,SFC_COMPLETE,MESYS,10/17/2019 07:48:05,10/17/2019 07:48:05,4
1297,L1_SA_SU,7,SU01,2019101700-00001,1,70,10/17/2019 15:48:33,10/17/2019 15:48:42,,,966,966,SUCCESS,SFC_COMPLETE,MESYS,10/17/2019 07:48:51,10/17/2019 07:48:51,4
1297,L1_SA_SU,8,SU01,2019101700-00001,1,80,10/17/2019 10:03:10,10/17/2019 10:03:21,,,966,966,SUCCESS,SFC_COMPLETE,MESYS,10/17/2019 08:03:27,10/17/2019 08:03:27,4
1297,L1_SA_SU,1,SU01,2019101700-00002,1,10,10/17/2019 10:04:36,10/17/2019 10:04:41,1,E02B0040002A410A,0,0,SUCCESS,SFC_COMPLETE,MESYS,10/17/2019 08:04:45,10/17/2019 08:04:45,4
1297,L1_SA_SU,2,SU01,2019101700-00002,1,20,10/17/2019 10:04:49,10/17/2019 10:05:09,,,0,204,SUCCESS,SFC_COMPLETE,MESYS,10/17/2019 08:05:13,10/17/2019 08:05:13,4
1297,L1_SA_SU,3,SU01,2019101700-00002,1,30,10/17/2019 10:05:19,10/17/2019 10:05:34,,,204,661,SUCCESS,SFC_COMPLETE,MESYS,10/17/2019 08:05:40,10/17/2019 08:05:40,4
1297,L1_SA_SU,4,SU01,2019101700-00002,1,40,10/17/2019 10:05:45,10/17/2019 10:06:01,,,661,661,SUCCESS,SFC_COMPLETE,MESYS,10/17/2019 08:06:07,10/17/2019 08:06:07,4
1297,L1_SA_SU,5,SU01,2019101700-00002,1,50,10/17/2019 10:06:23,10/17/2019 10:06:40,,,661,967,SUCCESS,SFC_COMPLETE,MESYS,10/17/2019 08:06:45,10/17/2019 08:06:45,4
1297,L1_SA_SU,6,SU01,2019101700-00002,1,60,10/17/2019 10:06:56,10/17/2019 10:07:07,,,967,967,SUCCESS,SFC_COMPLETE,MESYS,10/17/2019 08:07:12,10/17/2019 08:07:12,4
