"SITE","LINE","PLC_STATION_ID","SFC","TXNTYPE","REASON_CODE","START_DATE_TIME",END_DATE_TIME","TXN_VARIANT_CODE","TXN_VARIANT_DATA","PRE_WEIGHT","POST_WEIGHT","STATUS","ACTIVITY","CREATED_BY","CREATED_DATE_TIME","MODIFIED_DATE_TIME","RETRY_COUNT"
"1297","L1_SA_MU","3","ROYZP01-00001",1,0,"08-AUG-2019 11:29:36","08-AUG-2019 11:29:36","1","",100,200,"NEW","SFC_START","MESYS",08-AUG-19,08-AUG-19,10
"1297","L1_SA_SU","1","00201908SU-00001",1,1,"14-AUG-2019 17:29:10","14-AUG-2019 17:29:14","1"," E02B0040002A3B0",0,0,"SUCCESS","SFC_COMPLETE","MESYS",14-AUG-19,14-AUG-19,9
"1297","L1_SA_SU","2","00201908SU-00001",1,10,"14-AUG-2019 17:29:22","14-AUG-2019 17:29:37","","",0,205,"SUCCESS","SFC_COMPLETE","MESYS",14-AUG-19,14-AUG-19,9
"1297","L1_SA_SU","3","00201908SU-00001",1,20,"14-AUG-2019 17:29:45","14-AUG-2019 17:29:59","","",205,662,"SUCCESS","SFC_COMPLETE","MESYS",14-AUG-19,14-AUG-19,9
"1297","L1_SA_SU","4","00201908SU-00001",1,30,"14-AUG-2019 17:30:12","14-AUG-2019 17:30:29","","",662,662,"SUCCESS","SFC_COMPLETE","MESYS",14-AUG-19,14-AUG-19,9
"1297","L1_SA_SU","5","00201908SU-00001",1,40,"14-AUG-2019 17:30:38","14-AUG-2019 17:30:54","","",662,963,"SUCCESS","SFC_COMPLETE","MESYS",14-AUG-19,14-AUG-19,9
"1297","L1_SA_SU","6","00201908SU-00001",1,50,"14-AUG-2019 17:31:13","14-AUG-2019 17:31:24","","",963,963,"SUCCESS","SFC_COMPLETE","MESYS",14-AUG-19,14-AUG-19,9
"1297","L1_SA_SU","7","00201908SU-00001",1,60,"14-AUG-2019 17:32:22","14-AUG-2019 17:32:32","","",963,963,"SUCCESS","SFC_COMPLETE","MESYS",14-AUG-19,14-AUG-19,9
"1297","L1_SA_SU","8","00201908SU-00001",1,70,"14-AUG-2019 17:33:00","14-AUG-2019 17:33:11","","",963,963,"SUCCESS","SFC_COMPLETE","MESYS",14-AUG-19,14-AUG-19,9
"1297","L1_SA_SU","1","00201908SU-00002",1,1,"14-AUG-2019 17:29:25","14-AUG-2019 17:29:29","1"," E02B0040002A30B",0,0,"SUCCESS","SFC_COMPLETE","MESYS",14-AUG-19,14-AUG-19,9
"1297","L1_SA_SU","2","00201908SU-00002",1,10,"14-AUG-2019 17:29:45","14-AUG-2019 17:29:59","","",0,206,"SUCCESS","SFC_COMPLETE","MESYS",14-AUG-19,14-AUG-19,9
"1297","L1_SA_SU","3","00201908SU-00002",1,20,"14-AUG-2019 17:30:08","14-AUG-2019 17:30:23","","",206,663,"SUCCESS","SFC_COMPLETE","MESYS",14-AUG-19,14-AUG-19,9
"1297","L1_SA_SU","4","00201908SU-00002",1,30,"14-AUG-2019 17:30:44","14-AUG-2019 17:31:00","","",663,663,"SUCCESS","SFC_COMPLETE","MESYS",14-AUG-19,14-AUG-19,9
"1297","L1_SA_SU","5","00201908SU-00002",1,40,"14-AUG-2019 17:31:09","14-AUG-2019 17:31:26","","",663,964,"SUCCESS","SFC_COMPLETE","MESYS",14-AUG-19,14-AUG-19,9
"1297","L1_SA_SU","6","00201908SU-00002",1,50,"14-AUG-2019 17:31:38","14-AUG-2019 17:31:49","","",964,964,"SUCCESS","SFC_COMPLETE","MESYS",14-AUG-19,14-AUG-19,9
"1297","L1_SA_SU","7","00201908SU-00002",1,60,"14-AUG-2019 17:32:44","14-AUG-2019 17:32:54","","",964,964,"SUCCESS","SFC_COMPLETE","MESYS",14-AUG-19,14-AUG-19,9
"1297","L1_SA_SU","8","00201908SU-00002",1,70,"14-AUG-2019 17:33:20","14-AUG-2019 17:33:30","","",964,964,"SUCCESS","SFC_COMPLETE","MESYS",14-AUG-19,14-AUG-19,9
"1297","L1_SA_SU","1","00201908SU-00004",1,1,"15-AUG-2019 12:06:01","15-AUG-2019 12:06:06","1"," E02B0040002A2FF",0,0,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","2","00201908SU-00004",1,10,"15-AUG-2019 12:06:15","15-AUG-2019 12:06:30","","",0,204,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","3","00201908SU-00004",1,20,"15-AUG-2019 12:06:41","15-AUG-2019 12:06:56","","",204,659,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","4","00201908SU-00004",2,33,"15-AUG-2019 12:07:07","15-AUG-2019 12:07:17","","",659,659,"SUCCESS","SFC_SCRAP","MESYS",15-AUG-19,15-AUG-19,5
"1297","L1_SA_SU","1","00201908SU-00005",1,1,"15-AUG-2019 12:07:19","15-AUG-2019 12:07:23","1"," E02B0040002A38D",0,0,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","2","00201908SU-00005",1,10,"15-AUG-2019 12:07:31","15-AUG-2019 12:07:47","","",0,205,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","3","00201908SU-00005",2,21,"15-AUG-2019 12:07:56","15-AUG-2019 12:22:08","","",205,205,"SUCCESS","SFC_SCRAP","MESYS",15-AUG-19,15-AUG-19,7
"1297","L1_SA_SU","1","00201908SU-00006",1,1,"15-AUG-2019 12:22:51","15-AUG-2019 12:22:55","1"," E02B0040002A2FD",0,0,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","2","00201908SU-00006",1,10,"15-AUG-2019 12:23:20","15-AUG-2019 12:23:37","","",0,203,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","3","00201908SU-00006",1,20,"15-AUG-2019 12:23:46","15-AUG-2019 12:24:00","","",203,663,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","4","00201908SU-00006",1,30,"15-AUG-2019 12:24:12","15-AUG-2019 12:24:28","","",663,663,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","5","00201908SU-00006",1,40,"15-AUG-2019 12:24:45","15-AUG-2019 12:25:04","","",663,964,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","6","00201908SU-00006",1,50,"15-AUG-2019 12:25:25","15-AUG-2019 12:25:36","","",964,964,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","7","00201908SU-00006",1,60,"15-AUG-2019 12:26:10","15-AUG-2019 12:26:19","","",964,964,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","8","00201908SU-00006",1,70,"15-AUG-2019 12:28:11","15-AUG-2019 12:28:22","","",964,964,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","1","00201908SU-00007",1,1,"15-AUG-2019 12:24:25","15-AUG-2019 12:24:29","1"," E02B0040002A36A",0,0,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","2","00201908SU-00007",1,10,"15-AUG-2019 12:25:03","15-AUG-2019 12:25:18","","",0,205,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","3","00201908SU-00007",1,20,"15-AUG-2019 12:25:31","15-AUG-2019 12:25:47","","",205,662,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","4","00201908SU-00007",1,30,"15-AUG-2019 12:25:59","15-AUG-2019 12:26:16","","",662,662,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","5","00201908SU-00007",1,40,"15-AUG-2019 12:26:40","15-AUG-2019 12:27:01","","",662,962,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","6","00201908SU-00007",1,50,"15-AUG-2019 12:27:17","15-AUG-2019 12:27:28","","",962,962,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","7","00201908SU-00007",1,60,"15-AUG-2019 12:27:55","15-AUG-2019 12:28:05","","",962,962,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","8","00201908SU-00007",1,70,"15-AUG-2019 12:30:15","15-AUG-2019 12:30:25","","",962,962,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","1","00201908SU-00008",1,1,"15-AUG-2019 12:26:12","15-AUG-2019 12:26:16","1"," E02B0040002A35E",0,0,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","2","00201908SU-00008",1,10,"15-AUG-2019 12:26:27","15-AUG-2019 12:26:45","","",0,204,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","3","00201908SU-00008",1,20,"15-AUG-2019 12:26:53","15-AUG-2019 12:27:08","","",204,663,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","4","00201908SU-00008",1,30,"15-AUG-2019 12:27:44","15-AUG-2019 12:28:01","","",663,663,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","5","00201908SU-00008",1,40,"15-AUG-2019 12:28:25","15-AUG-2019 12:28:59","","",663,964,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","6","00201908SU-00008",1,50,"15-AUG-2019 12:29:17","15-AUG-2019 12:29:28","","",964,964,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","7","00201908SU-00008",1,60,"15-AUG-2019 12:29:59","15-AUG-2019 12:30:08","","",964,964,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","8","00201908SU-00008",1,70,"15-AUG-2019 12:31:53","15-AUG-2019 12:32:03","","",964,964,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","1","00201908SU-00009",1,1,"15-AUG-2019 12:27:38","15-AUG-2019 12:27:42","1"," E02B0040002A354",0,0,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","2","00201908SU-00009",1,10,"15-AUG-2019 12:27:52","15-AUG-2019 12:28:09","","",0,205,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","3","00201908SU-00009",1,20,"15-AUG-2019 12:28:20","15-AUG-2019 12:28:35","","",205,661,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
